Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocD,esc,Sponsor,ProgramKey,NumPOCs
Caney Creek,CACR1,IMPFSPED,US,AR,5113,51130003,34.4544,-94.1429,683,6/24/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Canyonlands NP,CANY1,IMPFSPED,US,UT,49037,490379000,38.4587,-109.821,1798,3/2/88,12/31/18,-999,Unknown,-999,Isla,nd in the Sky VC,NPS,IMPROVE,1
Cape Cod,CACO1,IMPFSPED,US,MA,25001,250010002,41.9758,-70.0242,49,4/4/01,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Cape Romain NWR,ROMA1,IMPFSPED,US,SC,45019,450190046,32.941,-79.6572,4,9/3/94,12/31/18,-999,Unknown,-999,Moor,"es Landing, Cape Romain NWR, SC , Refuge maintenance area",FWS,IMPROVE,1
Capitol Reef NP,CAPI1,IMPFSPED,US,UT,49055,490559000,38.3022,-111.2926,1896,4/19/00,12/31/18,-999,Unknown,-999,-999,,NPS,IMPROVE,1
Carlsbad Caverns,CAVE1,IMPFSPED,US,NM,35015,-999,32.1783,-104.44376,1355,7/30/17,12/31/18,-999,-999,-999,-999,,NPS,IMPROVE,1
Casco Bay,CABA1,IMPFSPED,US,ME,23005,230059002,43.8325,-70.0644,26,3/14/01,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Cedar Bluff,CEBL1,IMPFSPED,US,KS,20195,201950001,38.7701,-99.7634,665,6/1/02,12/31/18,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Chassahowitzka NWR,CHAS1,IMPFSPED,US,FL,12017,120179000,28.7484,-82.5549,4,3/3/93,12/31/18,-999,Unknown,-999,Main,"tenance Facility, 4 mi S of Homossassa Springs, FL, 1/4 mile West of t",he Chassahowitzka NWR Maintenance Facility          FWS,IMPROVE,1
Cherokee Nation,CHER1,IMPFSPED,US,OK,40071,400719010,36.9562,-97.0313,342,9/2/02,4/20/10,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Chicago,CHIC1,IMPFSPED,US,IL,17031,170310076,41.7514,-87.7135,194,9/3/03,8/29/05,-999,-999,-999,-999,,STN,IMPROVE,1
Chiricahua NM,CHIR1,IMPFSPED,US,AZ,4003,40038001,32.0094,-109.389,1554,3/2/88,12/31/18,-999,Unknown,-999,Entr,ance Station,NPS,IMPROVE,1
Cloud Peak,CLPE1,IMPFSPED,US,WY,56019,560199000,44.3335,-106.9565,2470,6/1/02,7/29/15,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Cohutta,COHU1,IMPFSPED,US,GA,13213,132139000,34.7852,-84.6265,735,6/3/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Columbia Gorge #1,COGO1,IMPFSPED,US,WA,53039,530390010,45.56926,-122.21029,230,9/18/96,10/30/11,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Columbia River Gorge,CORI1,IMPFSPED,US,WA,53039,530390011,45.6644,-121.0008,178,6/2/93,12/31/18,-999,Unknown,-999,Rt.,"turn off west, SR-14  0.7 miles west of Wishram, WA., 1.5 miles NW of","Wilsham, WA                                         USFS",IMPROVE,1
Connecticut Hill,COHI1,IMPFSPED,US,NY,36109,361099000,42.4009,-76.6534,519,4/4/01,6/25/06,-999,Unknown,-999,-999,,EPA,IMPROVE,1
Crater Lake NP,CRLA1,IMPFSPED,US,OR,41035,410358001,42.8958,-122.1361,1996,3/2/88,12/31/18,-999,Unknown,-999,Park,"Headquarters, maintenance area",NPS,IMPROVE,1
Craters of the Moon NM,CRMO1,IMPFSPED,US,ID,16023,160230101,43.4605,-113.5551,1817,3/4/92,12/31/18,-999,Unknown,-999,Behi,nd  Visitors Center,NPS,IMPROVE,1
Crescent Lake,CRES1,IMPFSPED,US,NE,31069,310699000,41.7627,-102.4336,1207,6/1/02,12/29/15,-999,-999,-999,-999,,STATE,IMPROVE,1
Death Valley NP,DEVA1,IMPFSPED,US,CA,6027,60270101,36.5089,-116.8478,130,9/4/93,4/28/13,-999,Unknown,-999,Furn,"ace Creek, Air quality trailer at Nevares Spring Water Tank",NPS,IMPROVE,1
Denali NP,DENA1,IMPFSPED,US,AK,2068,20680003,63.7233,-148.9675,658,3/2/88,12/31/18,-999,Unknown,-999,Park,Headquarters near water tank,NPS,IMPROVE,1
Detroit,DETR1,IMPFSPED,US,MI,26163,261630001,42.2286,-83.2085,179,9/3/03,12/31/18,-999,-999,-999,-999,,STN,IMPROVE,1
Dinosaur NM,DINO1,IMPFSPED,US,CO,8081,-999,40.25,-108.967,1829,11/1/18,12/31/18,-999,Unknown,"P.O. Box 210, CO 81610",100,yds. N of headquarters building,-999,SFU,1
Dolly Sods Wilderness,DOSO1,IMPFSPED,US,WV,54093,540939000,39.1053,-79.4261,1182,9/4/91,12/31/18,-999,Unknown,-999,Bear,"den Knob, 3 mi SE of Davis, WV",USFS,IMPROVE,1
Dome Lands Wilderness,DOLA1,IMPFSPED,US,CA,6029,60299902,35.6987,-118.2021,914,6/1/94,12/29/99,-999,Unknown,-999,Betw,"een Onyx, CA and Walker Pass",-999,IMPROVE,1
Dome Lands Wilderness,DOME1,IMPFSPED,US,CA,6029,60299001,35.7278,-118.1377,927,2/2/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,1
Douglas,DOUG1,IMPFSPED,US,AZ,4003,40039000,31.34921,-109.53973,1230,6/2/04,10/30/15,-999,-999,-999,-999,,STATE,IMPROVE,1
